depth,actual_fidelity,f_naive,f_tauchrono,improvement_pct
2,0.986328125,0.9456279184121119,0.9467352344332551,2.72
4,0.98779296875,0.8863887754770295,0.8920551361754981,5.59
6,0.930419921875,0.8145955095573826,0.8304322687365088,13.67
8,0.9697265625,0.783195033079375,0.8054705832710902,11.94
10,0.98095703125,0.6395575644670954,0.7023432771306666,18.39
15,0.921142578125,0.5619334747174421,0.6559727000719336,26.18
20,0.80419921875,0.5079128243730399,0.6273144671316767,40.30
30,0.822509765625,0.29183047690937336,0.5414151260002964,47.03
40,0.836181640625,0.19756485885758945,0.5188230156368281,50.31
50,0.8779296875,0.1748581753024847,0.5147758016523436,48.35
